system,variant,seed,validation_mean_u_ctrl,validation_safety,best_update,elapsed_seconds,reference_source,count_trajectories,count_sampled_histories,count_actor_updates,count_critic_updates,critic_mae,critic_rmse,critic_spearman,critic_top1_agreement,critic_top5_recall,count_counterfactual_actions,count_posterior_predictive_samples,count_continuation_policy_decisions
ieee9,R0,303,0.9700000000000001,1.0,45,,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_rl_training_improvement/ieee9_T3/final_dad/dad_seed_summary.csv,,,,,,,,,,,,
ieee9,R1,101,0.9766666666666666,1.0,1,147.3728158280719,,840,2520,326,326,,,,,,,,
ieee9,R1,202,0.9700000000000001,1.0,10,137.6778280211147,,840,2520,344,344,,,,,,,,
ieee9,R1,303,0.9633333333333333,1.0,50,220.7411589170806,,1320,3960,531,531,,,,,,,,
ieee9,R2,101,0.9700000000000001,1.0,1,184.8872659180779,,840,2520,344,344,,,,,,,,
ieee9,R2,202,0.9666666666666667,1.0,30,237.12346815504134,,1080,3240,417,417,,,,,,,,
ieee9,R2,303,0.9700000000000001,1.0,30,244.30844429810531,,1080,3240,437,437,,,,,,,,
ieee9,R3,101,0.9733333333333333,1.0,10,143.15449913288467,,840,2520,70,70,0.026814298704266548,0.029040522873401642,-0.13354858238321057,0.0,0.0,29687,118748,121740
ieee9,R3,202,0.9766666666666666,1.0,10,100.379739764845,,840,2520,70,70,0.024030793458223343,0.027600081637501717,0.13202752359245143,0.0,0.0,29671,118684,118236
ieee9,R3,303,0.9700000000000001,1.0,80,213.8446793470066,,1680,5040,140,140,0.021096082404255867,0.02227427065372467,0.08471757617151625,0.0,0.16666666666666666,59362,237448,240928
ieee9,R4,101,0.9766666666666666,1.0,1,118.67457041982561,,840,2520,70,70,0.02443234995007515,0.028378713876008987,-0.03619423697115151,0.0,0.0,29687,118748,121740
ieee9,R4,202,0.98,1.0,10,118.92867123801261,,840,2520,70,70,0.017572876065969467,0.021856730803847313,0.08530124662200134,0.0,0.3333333333333333,29671,118684,118236
ieee9,R4,303,0.9733333333333333,1.0,20,119.56511920690536,,960,2880,80,80,0.015621530823409557,0.021341366693377495,0.10506325384238814,0.0,0.0,33917,135668,136788
ieee9,R5,101,0.9733333333333333,1.0,20,113.5912718991749,,960,2880,80,80,0.026982394978404045,0.037331558763980865,0.06592180376864061,0.0,0.0,50572,202288,184504
ieee9,R5,202,0.98,1.0,20,112.65234692208469,,960,2880,80,80,0.020353173837065697,0.02149607241153717,0.021647204277614934,0.0,1.0,50559,202236,181708
ieee9,R5,303,0.9700000000000001,1.0,110,246.95437175501138,,2040,6120,170,170,0.017177844420075417,0.02258177660405636,-0.059567989867656886,0.0,0.0,107763,431052,406012
